,Symbol,Last Known Close,Sentiment Score,Estimated Close,Stock Direction,Confidence,True Close,True Stock Direction,True Stock Direction (For Analysis)
330,NRG,37.575,11.0,39.652217771856606,↑,0.007528731349564358,36.77000045776367,↓,0
331,NUE,158.085,9.0,155.66712118596755,↓,0.3181647522662592,161.16000366210938,↑,1
332,NVDA,190.96,-2.0,180.82896560202445,↓,0.01532363868885948,186.2899932861328,↓,0
333,NVR,4445.5,4.0,4220.073614519148,↓,0.04659800230966245,4397.2998046875,↓,0
334,NXPI,169.55,9.0,189.50791995332162,↑,0.020181758348948742,172.0800018310547,↑,1
335,ORLY,721.035,12.0,718.7707830559958,↓,0.8335852990602093,717.4199829101562,↓,0
336,OXY,55.06,13.0,56.354059840683476,↑,0.07468050649636668,56.02989959716797,↑,1
337,ODFL,275.96,15.0,294.88330046646666,↑,0.02041701244596032,272.3900146484375,↓,0
338,OMC,79.005,7.0,78.46511496135645,↓,0.3326802220673624,78.6500015258789,↓,0
339,OKE,65.61,9.0,84.42452327283127,↑,0.0028681944632622178,66.1405029296875,↑,1
340,ORCL,75.46,13.0,82.73119530869191,↑,0.00625073208242062,75.55999755859375,↑,1
341,OTIS,72.96,11.0,83.35979652457581,↑,0.007055690976846194,74.16999816894531,↑,1
342,PCAR,84.0063,11.0,87.96934476901697,↑,0.01826305118200473,85.06999969482422,↑,1
343,PKG,160.25,17.0,159.74197566643124,↓,0.30236937005019604,163.1199951171875,↑,1
344,PH,274.45,11.0,301.3947179938805,↑,0.01467198661927354,273.45001220703125,↓,0
345,PAYX,130.46,7.0,134.22246532070494,↑,0.021471437442476208,132.2899932861328,↑,1
346,PAYC,289.05,8.0,395.4084618160105,↑,0.004403304411742885,285.7149963378906,↓,0
347,PYPL,85.48,4.0,92.67668381125476,↑,0.0216277225543239,83.58999633789062,↓,0
348,PENN,37.255,14.0,55.664241593122426,↑,0.0068573623013991405,37.30009841918945,↑,1
349,PNR,52.415,9.0,61.18634066145893,↑,0.018205875654158828,52.36000061035156,↓,0
350,PEP,174.36,1.0,174.20944880178288,↓,0.35877671440527675,176.38999938964844,↑,1
351,PKI,143.97,11.0,271.6296984889032,↑,0.0017573334994679865,144.1199951171875,↑,1
352,PFE,49.265,12.0,49.69647959780003,↑,0.02640697506081172,49.65999984741211,↑,1
353,PM,103.22,13.0,102.72379146457752,↓,0.4685371699620913,102.91000366210938,↓,0
354,PSX,82.705,6.0,81.24958550930023,↓,0.12381189914145264,83.81999969482422,↑,1
355,PNW,75.75,10.0,75.73090464489178,↓,0.058203278135308935,75.02999877929688,↓,0
356,PXD,230.96,12.0,255.24615809830718,↑,0.01402836560615316,233.17999267578125,↑,1
357,PNC,170.89,0.0,167.120330900495,↓,0.014101127117675381,171.41000366210938,↑,1
358,POOL,422.3,16.0,599.7867255307248,↑,0.006378753761108608,409.7900085449219,↓,0
359,PPG,127.22,9.0,126.57836514152405,↓,0.09991302579266934,130.4199981689453,↑,1
360,PPL,29.36,8.0,29.18351104326962,↓,0.5649695571640946,29.200000762939453,↓,0
